"1609","0","31"
"9414","1","67"
"8939","2","76"
"451","3","63"
"2164","4","14"
"264","5","65"
"3161","6","20"
"1987","7","84"
"6748","8","2"
"8947","9","58"
"2699","10","23"
"9448","11","34"
"1815","12","29"
"8001","13","66"
"5222","14","61"
"8362","15","74"
"6794","16","21"
"9864","17","55"
"7245","18","82"
"5932","19","75"
"4470","20","68"
"9059","21","17"
"7268","22","22"
"3784","23","90"
"8436","24","82"
"5557","25","1"
"3617","26","53"
"9240","27","85"
"2882","28","43"
"1856","29","60"
"3306","30","88"
"6541","31","27"
"9553","32","49"
"9438","33","54"
"2581","34","56"
"2277","35","68"
"916","36","62"
"518","37","76"
"983","38","70"
"7576","39","5"
"4017","40","82"
"4892","41","25"
"5571","42","28"
"9456","43","39"
"7934","44","83"
"8033","45","12"
"8415","46","91"
"6642","47","90"
"3765","48","75"
"9097","49","25"
"3793","50","58"
"9796","51","31"
"5124","52","52"
"9120","53","27"
"1274","54","52"
"1058","55","29"
"3931","56","13"
"5495","57","77"
"9155","58","58"
"9221","59","57"
"6157","60","94"
"3114","61","70"
"3678","62","61"
"8888","63","28"
"3400","64","1"
"4662","65","42"
"8538","66","52"
"7721","67","90"
"4974","68","12"
"732","69","49"
"6729","70","38"
"8612","71","85"
"2268","72","40"
"4276","73","80"
"350","74","61"
"6436","75","55"
"2737","76","57"
"4019","77","86"
"6508","78","84"
"925","79","50"
"6946","80","48"
"810","81","57"
"6628","82","44"
"4434","83","10"
"5522","84","84"
"5218","85","16"
"569","86","55"
"3572","87","45"
"7080","88","65"
"8373","89","1"
"2013","90","52"
"8263","91","85"
"6122","92","2"
"7846","93","68"
"8374","94","58"
"4129","95","20"
"2169","96","3"
"2795","97","75"
"4943","98","50"
"4337","99","80"
"8581","100","6"
"3816","101","28"
"8286","102","48"
"8765","103","30"
"2706","104","35"
"2498","105","27"
"4190","106","77"
"512","107","20"
"6998","108","87"
"9597","109","76"
"5895","110","18"
"8849","111","53"
"4740","112","32"
"6777","113","52"
"5702","114","22"
"9531","115","91"
"2147","116","47"
"2495","117","53"
"5009","118","18"
"2500","119","41"
"5462","120","17"
"8424","121","33"
"5358","122","74"
"7444","123","29"
"7292","124","34"
"8118","125","19"
"2497","126","30"
"5579","127","38"
"9384","128","86"
"5641","129","81"
"6228","130","40"
"7529","131","93"
"596","132","30"
"1491","133","71"
"4305","134","100"
"4697","135","90"
"9279","136","42"
"6394","137","77"
"9056","138","92"
"5332","139","1"
"7147","140","37"
"9946","141","85"
"1547","142","15"
"7277","143","56"
"7404","144","63"
"8482","145","21"
"1780","146","26"
"2409","147","77"
"8221","148","99"
"7145","149","45"
"3391","150","30"
"3226","151","92"
"2658","152","81"
"8291","153","60"
"8030","154","79"
"2450","155","21"
"9011","156","70"
"9619","157","50"
"3165","158","92"
"4612","159","44"
"2189","160","26"
"9430","161","91"
"3016","162","10"
"8917","163","94"
"2099","164","6"
"2566","165","97"
"313","166","68"
"1459","167","91"
"1890","168","40"
"8513","169","19"
"8318","170","35"
"829","171","96"
"9004","172","7"
"9908","173","42"
"5187","174","80"
"5776","175","62"
"8920","176","83"
"3474","177","20"
"3409","178","73"
"4220","179","98"
"8826","180","33"
"6681","181","47"
"2303","182","81"
"32","183","50"
"8041","184","100"
"1224","185","90"
"4595","186","88"
"3807","187","35"
"375","188","49"
"992","189","33"
"1370","190","3"
"6694","191","82"
"3379","192","51"
"760","193","6"
"2534","194","75"
"8344","195","27"
"8480","196","99"
"9506","197","79"
"9622","198","87"
"7386","199","42"
"1259","200","1"
"5601","201","9"
"255","202","54"
"9414","203","14"
"1716","204","95"
"9294","205","12"
"3842","206","69"
"3410","207","90"
"6873","208","68"
"332","209","34"
"546","210","74"
"2070","211","54"
"3174","212","16"
"5875","213","93"
"4371","214","19"
"3650","215","72"
"7799","216","36"
"6729","217","34"
"3696","218","58"
"360","219","48"
"5876","220","0"
"9804","221","72"
"9272","222","36"
"2939","223","32"
"2514","224","1"
"7354","225","94"
"5687","226","24"
"4125","227","84"
"5658","228","13"
"7747","229","5"
"9773","230","59"
"9146","231","98"
"6687","232","67"
"5247","233","18"
"1015","234","74"
"132","235","71"
"4051","236","44"
"5912","237","58"
"8026","238","27"
"3313","239","83"
"8898","240","53"
"5187","241","48"
"17","242","8"
"5645","243","51"
"2886","244","29"
"1407","245","88"
"5797","246","77"
"2008","247","88"
"2402","248","67"
"4087","249","94"
"390","250","19"
"2253","251","0"
"9256","252","65"
"8245","253","35"
"4568","254","34"
"2458","255","92"
"4144","256","80"
"2258","257","71"
"4095","258","74"
"4129","259","10"
"1086","260","85"
"4412","261","6"
"2517","262","70"
"8416","263","28"
"8993","264","34"
"6404","265","67"
"1857","266","71"
"4688","267","66"
"6097","268","11"
"5853","269","1"
"5111","270","59"
"2170","271","87"
"1623","272","0"
"2433","273","50"
"999","274","1"
"4211","275","52"
"6371","276","61"
"8717","277","36"
"9645","278","4"
"3235","279","71"
"6006","280","80"
"1213","281","52"
"5178","282","52"
"5941","283","44"
"855","284","69"
"4641","285","77"
"1604","286","9"
"6134","287","84"
"2275","288","72"
"8429","289","36"
"9183","290","30"
"5335","291","93"
"7442","292","1"
"5392","293","51"
"120","294","63"
"4065","295","77"
"2594","296","53"
"1530","297","89"
"170","298","34"
"5740","299","36"
"1132","300","64"
"6675","301","8"
"6237","302","31"
"2393","303","49"
"2140","304","97"
"6737","305","2"
"8208","306","21"
"1971","307","57"
"7948","308","35"
"6992","309","86"
"2275","310","45"
"9209","311","66"
"1279","312","45"
"8106","313","70"
"118","314","32"
"372","315","32"
"2016","316","20"
"3322","317","63"
"8606","318","15"
